time_ms,Subject,Channel,value
768.0,7244_4_ants_ERN_err.dat,FCz,-4.22273
770.0,7244_4_ants_ERN_err.dat,FCz,-3.99831
772.0,7244_4_ants_ERN_err.dat,FCz,-3.79622
774.0,7244_4_ants_ERN_err.dat,FCz,-3.61727
776.0,7244_4_ants_ERN_err.dat,FCz,-3.46102
778.0,7244_4_ants_ERN_err.dat,FCz,-3.32615
780.0,7244_4_ants_ERN_err.dat,FCz,-3.21112
782.0,7244_4_ants_ERN_err.dat,FCz,-3.11439
784.0,7244_4_ants_ERN_err.dat,FCz,-3.03481
786.0,7244_4_ants_ERN_err.dat,FCz,-2.97187
788.0,7244_4_ants_ERN_err.dat,FCz,-2.92589
790.0,7244_4_ants_ERN_err.dat,FCz,-2.89845
792.0,7244_4_ants_ERN_err.dat,FCz,-2.89254
794.0,7244_4_ants_ERN_err.dat,FCz,-2.91264
